This flight happened on: Wed Jan 11 02:48:28 2023

acc_x |acc_y|acc_z| roll |pitch| yaw | x_vel|y_vel|z_vel|  X   | Y   |  Z  |
+0.38 |+0.14 |+9.54 |+0.01|+0.02|-0.02|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.47 |+0.23 |+9.76 |+0.01|+0.03|-0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |-0.01 |+9.75 |+0.01|+0.01|-0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.43 |+0.50 |+10.75 |+0.01|+0.04|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.05 |-0.29 |+11.92 |-0.20|-0.07|+0.04|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.11 |-0.11 |+10.19 |-0.48|-0.22|+0.04|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+1.14 |-0.45 |+7.82 |-0.63|-0.25|+0.07|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.62 |+0.49 |+9.69 |-0.88|-0.30|+0.06|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.89 |+0.52 |+9.32 |-1.14|-0.44|-0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.98 |-0.14 |+9.33 |-1.28|-0.55|-0.10|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.95 |+0.40 |+9.35 |-1.34|-0.64|-0.19|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.72 |+0.19 |+9.47 |-1.40|-0.86|-0.37|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+1.11 |-0.25 |+9.67 |-1.41|-0.68|-0.19|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+1.23 |-0.37 |+9.91 |-1.40|-0.47|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.59 |+0.27 |+10.02 |-1.43|-0.55|-0.07|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.59 |+0.27 |+9.71 |-1.42|-0.50|-0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.33 |+0.06 |+9.81 |-1.43|-0.45|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.69 |+0.08 |+9.68 |-1.42|-0.42|+0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.51 |-0.03 |+9.81 |-1.43|-0.42|+0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.63 |-0.08 |+9.91 |-1.44|-0.41|+0.05|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.65 |+0.14 |+9.62 |-1.43|-0.43|+0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.80 |+0.09 |+9.62 |-1.43|-0.43|+0.03|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.65 |+0.06 |+9.74 |-1.44|-0.40|+0.06|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

